asn=0    	id=-1  	Main	copying configuration file /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/config.json to output directory /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/results/1100s-10716-33/config.json
asn=0    	id=-1  	Main	initializing 3600 seconds long simulation...
asn=0    	id=-1  	network	network stats has been reset
asn=0    	id=-1  	Main	creating 8 "node" nodes...
asn=0    	id=-1  	Main	generating a mesh network with 8 nodes and 5 degrees
asn=0    	id=1   	Main	Set position x=46.13 y=-17.71
asn=0    	id=2   	Main	Set position x=23.69 y=-75.32
asn=0    	id=3   	Main	Set position x=91.55 y=-19.47
asn=0    	id=4   	Main	Set position x=14.44 y=12.35
asn=0    	id=5   	Main	Set position x=-89.58 y=-55.85
asn=0    	id=6   	Main	Set position x=-23.78 y=30.82
asn=0    	id=7   	Main	Set position x=-19.97 y=18.15
asn=0    	id=8   	Main	Set position x=-10.98 y=6.68
asn=0    	id=-1  	Main	starting simulation main loop...
asn=0    	id=-1  	Main	add network to timeslot switcher
asn=0    	id=-1  	Main	network = [object Object]
asn=5600 	id=-1  	Main	60 seconds, progress 1.67%
asn=5600 	id=-1  	Main	periodic route processing for all nodes
asn=11199	id=-1  	Main	120 seconds, progress 3.33%
asn=11199	id=-1  	Main	periodic route processing for all nodes
asn=16798	id=-1  	Main	180 seconds, progress 5.00%
asn=16798	id=-1  	Main	periodic route processing for all nodes
asn=22397	id=-1  	Main	240 seconds, progress 6.67%
asn=22397	id=-1  	Main	periodic route processing for all nodes
asn=27996	id=-1  	Main	300 seconds, progress 8.33%
asn=27996	id=-1  	Main	periodic route processing for all nodes
asn=33595	id=-1  	Main	360 seconds, progress 10.00%
asn=33595	id=-1  	Main	periodic route processing for all nodes
asn=39194	id=-1  	Main	420 seconds, progress 11.67%
asn=39194	id=-1  	Main	periodic route processing for all nodes
asn=44793	id=-1  	Main	480 seconds, progress 13.33%
asn=44793	id=-1  	Main	periodic route processing for all nodes
asn=50392	id=-1  	Main	540 seconds, progress 15.00%
asn=50392	id=-1  	Main	periodic route processing for all nodes
asn=55992	id=-1  	Main	600 seconds, progress 16.67%
asn=55992	id=-1  	Main	periodic route processing for all nodes
asn=61591	id=-1  	Main	660 seconds, progress 18.33%
asn=61591	id=-1  	Main	periodic route processing for all nodes
asn=67190	id=-1  	Main	720 seconds, progress 20.00%
asn=67190	id=-1  	Main	periodic route processing for all nodes
asn=72789	id=-1  	Main	780 seconds, progress 21.67%
asn=72789	id=-1  	Main	periodic route processing for all nodes
asn=78388	id=-1  	Main	840 seconds, progress 23.33%
asn=78388	id=-1  	Main	periodic route processing for all nodes
asn=83987	id=-1  	Main	900 seconds, progress 25.00%
asn=83987	id=-1  	Main	periodic route processing for all nodes
asn=83987	id=-1  	Main	periodic neighbor processing for all nodes
asn=89586	id=-1  	Main	960 seconds, progress 26.67%
asn=89586	id=-1  	Main	periodic route processing for all nodes
asn=95185	id=-1  	Main	1020 seconds, progress 28.33%
asn=95185	id=-1  	Main	periodic route processing for all nodes
asn=100784	id=-1  	Main	1080 seconds, progress 30.00%
asn=100784	id=-1  	Main	periodic route processing for all nodes
asn=106383	id=-1  	Main	1140 seconds, progress 31.67%
asn=106383	id=-1  	Main	periodic route processing for all nodes
asn=111983	id=-1  	Main	1200 seconds, progress 33.33%
asn=111983	id=-1  	Main	periodic route processing for all nodes
asn=117582	id=-1  	Main	1260 seconds, progress 35.00%
asn=117582	id=-1  	Main	periodic route processing for all nodes
asn=123181	id=-1  	Main	1320 seconds, progress 36.67%
asn=123181	id=-1  	Main	periodic route processing for all nodes
asn=128780	id=-1  	Main	1380 seconds, progress 38.33%
asn=128780	id=-1  	Main	periodic route processing for all nodes
asn=134379	id=-1  	Main	1440 seconds, progress 40.00%
asn=134379	id=-1  	Main	periodic route processing for all nodes
asn=139978	id=-1  	Main	1500 seconds, progress 41.67%
asn=139978	id=-1  	Main	periodic route processing for all nodes
asn=145577	id=-1  	Main	1560 seconds, progress 43.33%
asn=145577	id=-1  	Main	periodic route processing for all nodes
asn=151176	id=-1  	Main	1620 seconds, progress 45.00%
asn=151176	id=-1  	Main	periodic route processing for all nodes
asn=156775	id=-1  	Main	1680 seconds, progress 46.67%
asn=156775	id=-1  	Main	periodic route processing for all nodes
asn=162375	id=-1  	Main	1740 seconds, progress 48.33%
asn=162375	id=-1  	Main	periodic route processing for all nodes
asn=167974	id=-1  	Main	1800 seconds, progress 50.00%
asn=167974	id=-1  	Main	periodic route processing for all nodes
asn=167974	id=-1  	Main	periodic neighbor processing for all nodes
asn=173573	id=-1  	Main	1860 seconds, progress 51.67%
asn=173573	id=-1  	Main	periodic route processing for all nodes
asn=179172	id=-1  	Main	1920 seconds, progress 53.33%
asn=179172	id=-1  	Main	periodic route processing for all nodes
asn=184771	id=-1  	Main	1980 seconds, progress 55.00%
asn=184771	id=-1  	Main	periodic route processing for all nodes
asn=190370	id=-1  	Main	2040 seconds, progress 56.67%
asn=190370	id=-1  	Main	periodic route processing for all nodes
asn=195969	id=-1  	Main	2100 seconds, progress 58.33%
asn=195969	id=-1  	Main	periodic route processing for all nodes
asn=201568	id=-1  	Main	2160 seconds, progress 60.00%
asn=201568	id=-1  	Main	periodic route processing for all nodes
